#time	mean	min	max
1800	122.561694290976	121.325966850829	124.972375690608
3600	121.325966850829	121.325966850829	121.325966850829
5400	121.325966850829	121.325966850829	121.325966850829
7200	121.325966850829	121.325966850829	121.325966850829
9000	121.325966850829	121.325966850829	121.325966850829
10800	121.325966850829	121.325966850829	121.325966850829
12600	121.325966850829	121.325966850829	121.325966850829
14400	121.325966850829	121.325966850829	121.325966850829
16200	121.325966850829	121.325966850829	121.325966850829
18000	121.325966850829	121.325966850829	121.325966850829
19800	124.482504604052	121.325966850829	127.955801104972
21600	130.497237569061	128.618784530387	132.596685082873
23400	141.788213627993	132.596685082873	150.497237569061
25200	160.20073664825	150.497237569061	170.718232044199
27000	181.883977900552	171.049723756906	193.591160220994
28800	201.160220994475	193.591160220994	208.176795580111
30600	227.546961325967	208.176795580111	241.325966850829
32400	256.900552486188	241.325966850829	270.497237569061
34200	272.467771639042	271.160220994475	273.812154696133
36000	274.456721915285	273.149171270718	276.46408839779
37800	277.449355432781	276.46408839779	278.453038674033
39600	278.429097605893	276.46408839779	280.110497237569
41400	277.626151012891	275.801104972376	279.116022099448
43200	276.086556169429	274.14364640884	277.790055248619
45000	273.847145488029	272.486187845304	275.138121546961
46800	272.451197053407	270.497237569061	274.475138121547
48600	272.766114180479	270.497237569061	275.138121546961
50400	274.337016574586	272.486187845304	276.46408839779
52200	271.672191528545	269.171270718232	273.812154696133
54000	263.252302025783	257.237569060774	269.171270718232
55800	248.998158379374	240	256.574585635359
57600	231.666666666667	222.762430939227	240
59400	206.672191528545	191.602209944751	221.767955801105
61200	182.926335174954	174.364640883978	190.939226519337
63000	167.379373848987	160.441988950276	174.364640883978
64800	153.861878453039	148.508287292818	159.779005524862
66600	146.360957642726	142.541436464088	149.834254143646
68400	140.390423572744	139.226519337017	141.878453038674
70200	138.519337016575	137.237569060773	139.889502762431
72000	136.044198895028	135.24861878453	136.574585635359
73800	134.042357274401	132.596685082873	135.24861878453
75600	132.909760589319	132.596685082873	133.259668508287
77400	132.699815837937	131.933701657459	133.259668508287
79200	131.254143646409	130.60773480663	131.933701657459
81000	130.302025782689	129.944751381215	130.60773480663
82800	129.714548802947	128.618784530387	130.60773480663
84600	127.915285451197	127.292817679558	128.618784530387
